FID,ID,SiteID,Class,Type,VD,HD,PPD,Waypoint,Accuracy,Latitude,Longitude,Complete,comments,Picture,Complete_D
14, ,Coho_survey_Reaches-091,Permenant,"Bedrock Slide, Falls",2.700000000000000,7.000000000000000,0.100000000000000,324.000000000000000,15.000000000000000,46.731850999999999,-123.300033000000000,-1, , ,Yes
15, ,Coho_survey_Reaches-091,Permenant,Falls,2.300000000000000,3.000000000000000,0.100000000000000,326.000000000000000,12.000000000000000,46.732835000000001,-123.300653999999990,0, , ,No
16, ,Coho_survey_Reaches-096,Permenant,Cascade,0.000000000000000,0.000000000000000,0.000000000000000,341.000000000000000,9.000000000000000,46.549463000000003,-123.331481000000000,0,no measurements obtained, ,No
17, ,Coho_survey_Reaches-096,Permenant,Bedrock Slide,0.000000000000000,0.000000000000000,0.000000000000000,342.000000000000000,9.000000000000000,46.548734000000003,-123.331829000000000,0,no measurements obtained, ,No
18, ,Coho_survey_Reaches-096,Permenant,"Falls, Cascade",4.000000000000000,0.000000000000000,0.000000000000000,567.000000000000000,15.000000000000000,46.518630999999999,-123.384023000000000,-1,step 1 of 2, ,Yes
19, ,Coho_survey_Reaches-096,Permenant,"Falls, Cascade",12.000000000000000,0.000000000000000,0.000000000000000,567.000000000000000,15.000000000000000,46.518630999999999,-123.384023000000000,-1,step 2 of 2, ,Yes
20, ,Coho_survey_Reaches-102,Permenant,Falls,5.900000000000000,16.199999999999999,1.500000000000000,289.000000000000000,7.000000000000000,47.253010000000003,-123.533148000000000,-1, , ,Yes
21, ,Coho_survey_Reaches-103,Transient,"Falls, LWD",0.000000000000000,0.000000000000000,0.000000000000000,315.000000000000000,10.000000000000000,46.924356000000003,-123.411807999999990,0,no measurements taken, ,No
22, ,Coho_survey_Reaches-103,Permenant,Bedrock Slide,0.000000000000000,0.000000000000000,0.000000000000000,317.000000000000000,19.000000000000000,46.923924000000000,-123.410850999999990,0,no measurements taken, ,No
23, ,Coho_survey_Reaches-103,Transient,"LWD, Debris Jam",0.600000000000000,0.600000000000000,0.100000000000000,593.000000000000000,6.000000000000000,46.923408000000002,-123.411283000000000,0,partially blown out, ,No
24, ,Coho_survey_Reaches-103,Permenant,Bedrock Slide,0.900000000000000,1.700000000000000,0.400000000000000,604.000000000000000,14.000000000000000,46.915213000000001,-123.399477000000000,0, , ,No
25, ,Coho_survey_Reaches-103,Transient,Falls,0.750000000000000,1.300000000000000,0.150000000000000,605.000000000000000,10.000000000000000,46.914769999999997,-123.396319000000010,0, , ,No
26, ,Coho_survey_Reaches-103,Permenant,Falls,4.480000000000000,12.390000000000001,0.050000000000000,609.000000000000000,11.000000000000000,46.914299999999997,-123.393576000000000,-1,Series of falls, ,Yes
27, ,Coho_survey_Reaches-107,Transient,Beaver Dam,0.000000000000000,0.000000000000000,0.000000000000000,354.000000000000000,11.000000000000000,46.635210999999998,-123.380163999999990,0, , ,No
28, ,Coho_survey_Reaches-118,Transient,Beaver Dam,0.000000000000000,0.000000000000000,0.000000000000000,492.000000000000000,9.000000000000000,47.293875000000000,-123.330192999999990,0, , ,No
29, ,Coho_survey_Reaches-120,Permenant,Falls,7.520000000000000,9.000000000000000,0.000000000000000,183.000000000000000,5.000000000000000,46.395643000000000,-123.177052000000000,-1, , ,Yes
30, ,Coho_survey_Reaches-199,Transient,Beaver Dam,0.300000000000000,0.400000000000000,0.500000000000000,431.000000000000000,5.000000000000000,46.912373000000002,-123.952617000000000,0, , ,No
31, ,Coho_survey_Reaches-200,Permenant,Bedrock Slide,1.000000000000000,2.000000000000000,0.700000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,no waypoint, ,No
32, ,Coho_survey_Reaches-200,Permenant,Bedrock Slide,1.000000000000000,5.000000000000000,0.500000000000000,443.000000000000000,7.000000000000000,47.104678999999997,-123.720187999999990,0,another bedrock slide 30m downstream (no waypoint), ,No
33, ,Coho_survey_Reaches-200,Permenant,Falls,2.000000000000000,3.000000000000000,0.800000000000000,446.000000000000000,10.000000000000000,47.105884000000003,-123.716748999999990,-1, , ,Yes
34, ,Coho_survey_Reaches-203,Transient,Beaver Dam,0.000000000000000,0.000000000000000,0.000000000000000,344.000000000000000,7.000000000000000,46.798650000000002,-123.352813000000000,0, , ,No
35, ,Coho_survey_Reaches-204,Permenant,Falls,2.500000000000000,3.000000000000000,0.400000000000000,360.000000000000000,9.000000000000000,46.527842000000000,-123.198535000000010,-1, , ,Yes
36, ,Coho_survey_Reaches-207,Permenant,Falls,1.930000000000000,5.480000000000000,1.500000000000000,617.000000000000000,10.000000000000000,47.044910999999999,-123.607145000000000,-1, , ,Yes
37, ,Coho_survey_Reaches-207,Permenant,Falls,2.910000000000000,6.520000000000000,0.000000000000000,618.000000000000000,7.000000000000000,47.044502999999999,-123.606669000000000,-1,"Could not obtain PPD, too deep", ,Yes
38, ,Coho_survey_Reaches-208,Permenant,Cascade,2.000000000000000,5.800000000000000,0.300000000000000,420.000000000000000,6.000000000000000,46.408405999999999,-123.262140000000000,-1,23.1211, ,Yes
39, ,Coho_survey_Reaches-210,Transient,Beaver Dam,0.000000000000000,0.000000000000000,0.000000000000000,348.000000000000000,7.000000000000000,47.318168000000000,-123.827631000000000,0, , ,No
40, ,Coho_survey_Reaches-214,Permenant,Falls,1.400000000000000,1.000000000000000,0.400000000000000,457.000000000000000,7.000000000000000,47.288626999999998,-123.641906000000010,0, , ,No
41, ,Coho_survey_Reaches-214,Transient,LWD,0.000000000000000,10.000000000000000,0.000000000000000,455.000000000000000,8.000000000000000,47.287163999999997,-123.643995000000000,0,no VD or PPD, ,No
42, ,Coho_survey_Reaches-216,Transient,Debris Jam,0.000000000000000,0.000000000000000,0.000000000000000,399.000000000000000,7.000000000000000,47.156599000000000,-123.546167000000000,0, , ,No
43, ,Coho_survey_Reaches-216,Transient,Debris Jam,0.000000000000000,0.000000000000000,0.000000000000000,403.000000000000000,6.000000000000000,47.160418000000000,-123.549038999999990,0, , ,No
44, ,Coho_survey_Reaches-224,Transient,LWD,0.000000000000000,0.000000000000000,0.000000000000000,328.000000000000000,8.000000000000000,46.477192000000002,-123.329472999999990,0,no measurements obtained, ,No
45, ,Coho_survey_Reaches-224,Permenant,Falls,2.000000000000000,0.000000000000000,0.760000000000000,329.000000000000000,7.000000000000000,46.476255999999999,-123.330433000000000,-1,"Measurements Taken in Feet by Surveyor, might not be 100% accurate", ,Yes
46, ,Coho_survey_Reaches-224,Permenant,Falls,0.900000000000000,0.000000000000000,0.900000000000000,331.000000000000000,11.000000000000000,46.475679000000000,-123.331205999999990,0,"Step 1, Measurements Taken in Feet by Surveyor, might not be 100% accurate", ,No
47, ,Coho_survey_Reaches-224,Permenant,Falls,2.600000000000000,0.000000000000000,0.150000000000000,331.000000000000000,11.000000000000000,46.475679000000000,-123.331205999999990,-1,"Step 2 Measurements Taken in Feet by Surveyor, might not be 100% accurate", ,Yes
48, ,Coho_survey_Reaches-227,Transient,Beaver Dam,0.000000000000000,0.000000000000000,0.000000000000000,194.000000000000000,3.000000000000000,46.922170000000001,-123.984030000000000,0,No measurements taken., ,No
49, ,Coho_survey_Reaches-231,Permenant,Falls,4.500000000000000,4.950000000000000,0.000000000000000,273.000000000000000,9.000000000000000,46.894444999999997,-123.370129000000010,-1,no PPD measured but notes say its ""very deep"", ,Yes
50, ,Coho_survey_Reaches-232,Permenant,"Chute, Falls",2.650000000000000,8.520000000000000,0.000000000000000,18.000000000000000,3.000000000000000,47.177520000000001,-123.724733000000000,-1,unable to measure PPD but deep, ,Yes
51, ,Coho_survey_Reaches-239,Transient,Beaver Dam,1.860000000000000,5.000000000000000,0.000000000000000,426.000000000000000,5.000000000000000,47.146438000000003,-123.351136999999990,0,no PPD, ,No
52, ,Coho_survey_Reaches-259,Permenant,"Falls, Chute",4.100000000000000,9.000000000000000,0.500000000000000,379.000000000000000,11.000000000000000,46.822569000000001,-123.370413000000000,-1,"falls in heavy brush, measurements might not be exact", ,Yes
53, ,Coho_survey_Reaches-259,Transient,LWD jam,0.600000000000000,1.600000000000000,0.100000000000000,377.000000000000000,10.000000000000000,46.822769000000001,-123.365016999999990,0,""passable in higher water"" -KB, ,No
54, ,Coho_survey_Reaches-260,Transient,Beaver Dam,0.600000000000000,2.000000000000000,0.200000000000000,531.000000000000000,6.000000000000000,46.363495999999998,-123.171828000000000,0, , ,No
55, ,Coho_survey_Reaches-265,Permenant,Falls,2.400000000000000,3.600000000000000,0.460000000000000,381.000000000000000,13.000000000000000,46.646560999999998,-122.543654000000000,-1, , ,Yes
56, ,Coho_survey_Reaches-265,Permenant,Falls,1.900000000000000,2.400000000000000,0.500000000000000,382.000000000000000,6.000000000000000,46.646411000000001,-122.544769000000000,-1, , ,Yes
57, ,Coho_survey_Reaches-265,Permenant,Falls,2.700000000000000,2.500000000000000,0.450000000000000,383.000000000000000,11.000000000000000,46.646287000000001,-122.545755000000000,-1, , ,Yes
58, ,Coho_survey_Reaches-268,Transient,Debris Jam,0.700000000000000,1.400000000000000,0.150000000000000,741.000000000000000,11.000000000000000,47.137762000000002,-123.389467000000000,0,debris jam/ partially sub-t, ,No
59, ,Coho_survey_Reaches-268,Transient,Beaver Dam,1.100000000000000,1.600000000000000,0.100000000000000,737.000000000000000,5.000000000000000,47.139307000000002,-123.383456000000000,0,"large boulders for 4.47m ds of beaver dam, would be hard for adult salmonid to navigate", ,No
60, ,Coho_survey_Reaches-270,Permenant,"Cascade, Falls",1.400000000000000,7.100000000000000,0.600000000000000,628.000000000000000,8.000000000000000,47.437457000000002,-123.682818999999990,0,series; part 1, ,No
61, ,Coho_survey_Reaches-270,Permenant,"Cascade, Falls",1.860000000000000,5.710000000000000,0.800000000000000,628.000000000000000,8.000000000000000,47.437457000000002,-123.682818999999990,0,series; part 2, ,No
62, ,Coho_survey_Reaches-271,Transient,LWD jam,0.000000000000000,0.000000000000000,0.000000000000000,309.000000000000000,13.000000000000000,46.738421000000002,-123.289770000000000,0,"no measurements taken, large stump across stream compressing all water below it, there is a high water get around.", ,No
63, ,Coho_survey_Reaches-271,Permenant,Falls,0.850000000000000,0.500000000000000,0.200000000000000,311.000000000000000,12.000000000000000,46.738436000000000,-123.292492000000000,0,this feature is upstream of where stream goes sub-t, ,No
64, ,Coho_survey_Reaches-754,Transient,Beaver Dam,0.750000000000000,1.500000000000000,0.200000000000000,350.000000000000000,9.000000000000000,47.010539000000001,-123.988992999999990,0,ASK KEITH, ,No
65, ,Steelhead_survey_Reaches-046,Transient,Beaver Dam,1.500000000000000,0.000000000000000,0.200000000000000,655.000000000000000,7.000000000000000,46.785507000000003,-123.341646999999990,-1,NO HD, ,Yes
66, ,Steelhead_survey_Reaches-046,Transient,Beaver Dam,2.000000000000000,0.000000000000000,0.200000000000000,656.000000000000000,10.000000000000000,46.784784999999999,-123.345052000000000,-1,NO HD, ,Yes
67, ,Steelhead_survey_Reaches-046,Transient,Beaver Dam,1.800000000000000,0.000000000000000,0.000000000000000,657.000000000000000,8.000000000000000,46.784725999999999,-123.346571999999990,0,NO PPD OR HD, ,No
68, ,Steelhead_survey_Reaches-063,Transient,Beaver Dam,0.000000000000000,0.000000000000000,0.000000000000000,194.000000000000000,3.000000000000000,46.922170000000001,-123.984030000000000,0,No measurements taken., ,No
69, ,Steelhead_survey_Reaches-064,Transient,LWD,0.000000000000000,0.000000000000000,0.000000000000000,340.000000000000000,8.000000000000000,46.627133999999998,-123.341164000000010,0,"No measurements taken, field comments suggest passable", ,No
70, ,Steelhead_survey_Reaches-067,Transient,Beaver Dam,0.600000000000000,1.400000000000000,0.100000000000000,307.000000000000000,7.000000000000000,47.055501000000000,-123.324053000000010,0, , ,No
71, ,Steelhead_survey_Reaches-069,Transient,Mass Wasting,0.500000000000000,0.800000000000000,0.250000000000000,278.000000000000000,8.000000000000000,46.814829000000003,-122.762246000000000,0,rootwad, ,No
72, ,Steelhead_survey_Reaches-069,Transient,Mass Wasting,0.900000000000000,1.100000000000000,0.500000000000000,279.000000000000000,9.000000000000000,46.816141999999999,-122.761013000000010,0,rootwad cascade, ,No
73, ,Steelhead_survey_Reaches-069,Transient,Mass Wasting,0.500000000000000,0.500000000000000,0.200000000000000,281.000000000000000,9.000000000000000,46.817486000000002,-122.760509000000000,0,rootwad falls, ,No
74, ,Steelhead_survey_Reaches-069,Permenant,Cascade,1.500000000000000,5.000000000000000,0.300000000000000,283.000000000000000,8.000000000000000,46.817990000000002,-122.760085000000000,0,low angle bedrock cascade, ,No
75, ,Steelhead_survey_Reaches-069,Permenant,Cascade,1.000000000000000,4.000000000000000,0.200000000000000,284.000000000000000,7.000000000000000,46.818209000000003,-122.759770000000000,0,low angle bedrock cascade, ,No
76, ,Steelhead_survey_Reaches-072,Transient,Beaver Dam,0.000000000000000,0.000000000000000,0.000000000000000,2.000000000000000,0.000000000000000,46.833930000000002,-124.063571000000000,0,"beaver dam, old culvert pulled?, log jam, beaver pond", ,No
77, ,Steelhead_survey_Reaches-078,Permenant,Falls,4.700000000000000,4.300000000000000,0.760000000000000,530.000000000000000,11.000000000000000,47.374167000000000,-123.797022000000000,-1, , ,Yes
78, ,Steelhead_survey_Reaches-079,Permenant,Falls,1.500000000000000,2.500000000000000,0.500000000000000,438.000000000000000,10.000000000000000,47.110174999999998,-123.740232000000010,0, , ,No
79, ,Steelhead_survey_Reaches-079,Permenant,Bedrock Slide,1.000000000000000,7.500000000000000,0.200000000000000,439.000000000000000,13.000000000000000,47.109864000000002,-123.740864000000000,0, , ,No
80, ,Steelhead_survey_Reaches-079,Permenant,Falls,9.000000000000000,2.000000000000000,0.600000000000000,441.000000000000000,10.000000000000000,47.111480999999998,-123.742943999999990,-1, , ,Yes
81, ,Steelhead_survey_Reaches-083,Transient,"LWD, Falls",1.300000000000000,1.700000000000000,0.600000000000000,411.000000000000000,10.000000000000000,47.136043000000001,-123.403538999999990,0, , ,No
82, ,Steelhead_survey_Reaches-086,Permenant,Falls,5.430000000000000,0.790000000000000,0.000000000000000,420.000000000000000,15.000000000000000,47.315091000000002,-123.534870000000000,-1,Could not obtain PPD, ,Yes
83, ,Steelhead_survey_Reaches-089,Permenant,Falls,2.300000000000000,3.000000000000000,0.150000000000000,239.000000000000000,8.000000000000000,46.737921000000000,-122.723930000000000,-1, , ,Yes
84, ,Steelhead_survey_Reaches-094,Permenant,Falls,4.000000000000000,3.000000000000000,1.000000000000000,0.000000000000000,9.000000000000000,47.283610000000003,-123.841371000000000,-1,Jones Creek, ,Yes
85, ,Steelhead_survey_Reaches-096,Permenant,Falls,4.760000000000000,4.700000000000000,0.240000000000000,279.000000000000000,7.000000000000000,46.533866000000003,-123.312892000000010,-1,feature #1 river right, ,Yes
86, ,Steelhead_survey_Reaches-096,Permenant,Falls,4.700000000000000,8.720000000000001,1.200000000000000,280.000000000000000,5.000000000000000,46.533796000000002,-123.312862000000000,-1,feature #2, ,Yes
87, ,Steelhead_survey_Reaches-098,Transient,Beaver Dam,0.000000000000000,0.000000000000000,0.000000000000000,399.000000000000000,12.000000000000000,46.820990000000002,-122.773760000000000,0, , ,No
88, ,Steelhead_survey_Reaches-098,Transient,Beaver Dam,0.000000000000000,0.000000000000000,0.000000000000000,401.000000000000000,11.000000000000000,46.822406000000001,-122.773208000000000,0,Unknown complete barrier status of dam itself, ,No
89, ,Steelhead_survey_Reaches-102,Permenant,Falls,9.119999999999999,16.199999999999999,0.000000000000000,375.000000000000000,41.000000000000000,47.384357000000001,-123.706149999999990,-1, , ,Yes
90, ,Steelhead_survey_Reaches-240,Permenant,Falls,0.700000000000000,1.600000000000000,0.700000000000000,414.000000000000000,8.000000000000000,46.458672999999997,-123.200943000000000,0, , ,No
91, ,Steelhead_survey_Reaches-240,Transient,Debris Jam,0.400000000000000,0.500000000000000,0.200000000000000,415.000000000000000,8.000000000000000,46.458951999999996,-123.201510000000000,0, , ,No
92, ,Steelhead_survey_Reaches-133,Permenant,Falls,2.900000000000000,9.800000000000001,0.450000000000000,392.000000000000000,6.000000000000000,46.666269999999997,-122.534360000000010,-1, , ,Yes
93, ,Steelhead_survey_Reaches-186,Permenant,Falls,5.000000000000000,22.260000000000002,0.000000000000000,569.000000000000000,10.000000000000000,0.000000000000000,0.000000000000000,-1,Tier 1, ,Yes
94, ,Steelhead_survey_Reaches-186,Permenant,Falls,2.680000000000000,6.810000000000000,0.000000000000000,569.000000000000000,10.000000000000000,0.000000000000000,0.000000000000000,-1,Tier 2 - no PPD measurements taken, ,Yes
95, ,Steelhead_survey_Reaches-186,Permenant,Falls,7.780000000000000,8.380000000000001,0.000000000000000,570.000000000000000,6.000000000000000,0.000000000000000,0.000000000000000,-1,PPD is described as ""very deep"", ,Yes
96, ,Steelhead_survey_Reaches-199,Permenant,"Bedrock Slide, Falls",1.220000000000000,12.500000000000000,1.500000000000000,367.000000000000000,0.000000000000000,47.165270000000000,-123.670923000000000,0, , ,No
97, ,Steelhead_survey_Reaches-201,Transient,Debris Jam,0.000000000000000,0.000000000000000,0.000000000000000,392.000000000000000,10.000000000000000,46.729968000000000,-122.703209000000000,0,small root falls, ,No
98, ,Steelhead_survey_Reaches-205,Permenant,Falls,7.000000000000000,0.000000000000000,0.000000000000000,378.000000000000000,6.000000000000000,46.671641999999999,-122.589038000000000,-1,upstream of culvert, ,Yes
99, ,Steelhead_survey_Reaches-205,Permenant,Cascade,2.500000000000000,4.900000000000000,0.600000000000000,382.000000000000000,11.000000000000000,46.667614000000000,-122.590686000000010,0, , ,No
100, ,Steelhead_survey_Reaches-205,Permenant,"Cascade, Falls",4.400000000000000,11.600000000000000,0.200000000000000,383.000000000000000,14.000000000000000,46.669255000000000,-122.589817000000000,-1,Staged cascade. Stage 1, ,Yes
101, ,Steelhead_survey_Reaches-205,Permenant,"Cascade, Falls",4.900000000000000,11.900000000000000,0.300000000000000,383.000000000000000,14.000000000000000,46.669255000000000,-122.589817000000000,-1,Staged cascade. Took Cascade stage 2 as input data, ,Yes
102, ,Steelhead_survey_Reaches-205,Permenant,Falls,6.000000000000000,12.600000000000000,0.400000000000000,384.000000000000000,7.000000000000000,46.669590999999997,-122.589982000000010,-1, , ,Yes
103, ,Steelhead_survey_Reaches-209,Transient,Beaver Dam,0.000000000000000,0.000000000000000,0.000000000000000,433.000000000000000,6.000000000000000,47.130249999999997,-123.288780000000000,0,no measurements taken, ,No
104, ,Steelhead_survey_Reaches-221,Permenant,Falls,3.900000000000000,3.500000000000000,0.000000000000000,512.000000000000000,9.000000000000000,46.698931999999999,-122.607065000000010,-1, , ,Yes
105, ,Steelhead_survey_Reaches-221,Permenant,Falls,3.000000000000000,4.000000000000000,0.000000000000000,512.000000000000000,9.000000000000000,46.698931999999999,-122.607065000000010,-1,"Same waypoint, different measurement", ,Yes
106, ,Steelhead_survey_Reaches-221,Permenant,Falls,3.800000000000000,3.500000000000000,0.000000000000000,513.000000000000000,0.000000000000000,46.698824999999999,-122.606910000000000,-1, , ,Yes
107, ,Steelhead_survey_Reaches-224,Permenant,"Falls, Cascade",1.500000000000000,2.000000000000000,0.500000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,no wypt, ,No
108, ,Steelhead_survey_Reaches-224,Permenant,Falls,1.900000000000000,0.700000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,no wypt; premanent/transient…boulder falls with LWD on top increasing VD, ,No
109, ,Steelhead_survey_Reaches-224,Permenant,"Falls, Cascade",1.600000000000000,3.000000000000000,0.600000000000000,520.000000000000000,8.000000000000000,46.470897000000001,-123.312984000000000,-1, , ,Yes
110, ,Steelhead_survey_Reaches-250,Permenant,Chute,0.480000000000000,9.410000000000000,0.450000000000000,246.000000000000000,12.000000000000000,47.364553000000001,-123.819621000000000,0, , ,No
111, ,Steelhead_survey_Reaches-250,Permenant,Falls,0.870000000000000,2.960000000000000,1.950000000000000,248.000000000000000,8.000000000000000,47.364350000000002,-123.819361000000000,0, , ,No
112, ,Steelhead_survey_Reaches-250,Permenant,Falls,1.950000000000000,2.430000000000000,1.380000000000000,249.000000000000000,17.000000000000000,47.364275999999997,-123.819374000000000,0, , ,No
113, ,Steelhead_survey_Reaches-250,Permenant,Falls,1.450000000000000,2.150000000000000,3.200000000000000,250.000000000000000,13.000000000000000,47.363554999999998,-123.818748000000000,0,"Falls/Log Jam, may not be a complete barrier", ,No
114, ,Steelhead_survey_Reaches-250,Permenant,Falls,2.920000000000000,2.650000000000000,2.800000000000000,251.000000000000000,17.000000000000000,47.363531000000002,-123.819224000000010,0, , ,No
115, ,Steelhead_survey_Reaches-250,Permenant,Falls,2.900000000000000,3.300000000000000,1.700000000000000,252.000000000000000,20.000000000000000,47.363211999999997,-123.819045000000000,0, , ,No
116, ,Steelhead_survey_Reaches-250,Permenant,Falls,2.800000000000000,3.900000000000000,1.800000000000000,253.000000000000000,19.000000000000000,47.363045999999997,-123.818760999999990,0,no measurements obtained, ,No
117, ,Steelhead_survey_Reaches-269,Permenant,"Falls, Cascade",4.000000000000000,0.000000000000000,0.000000000000000,567.000000000000000,15.000000000000000,46.518630999999999,-123.384023000000000,-1,step 1 of 2, ,Yes
118, ,Steelhead_survey_Reaches-269,Permenant,"Falls, Cascade",12.000000000000000,0.000000000000000,0.000000000000000,567.000000000000000,15.000000000000000,46.518630999999999,-123.384023000000000,-1,step 2 of 2, ,Yes
119, ,Steelhead_survey_Reaches-272,Permenant,Falls,3.900000000000000,4.700000000000000,0.200000000000000,63.000000000000000,6.000000000000000,47.307414000000001,-123.344274000000000,-1,whole series of falls to bottom of culvert VD=7.5, ,Yes
120, ,Steelhead_survey_Reaches-275,Permenant,Falls,3.900000000000000,3.600000000000000,0.100000000000000,561.000000000000000,8.000000000000000,46.694090000000003,-123.332898000000000,-1, , ,Yes
121, ,Steelhead_survey_Reaches-279,Permenant,"Bedrock Slide, Cascade",2.400000000000000,5.600000000000000,0.120000000000000,515.000000000000000,9.000000000000000,46.719504999999998,-122.684301000000000,-1, , ,Yes
122, ,Steelhead_survey_Reaches-291,Permenant,Falls,2.200000000000000,3.100000000000000,0.500000000000000,319.000000000000000,7.000000000000000,46.417109000000004,-123.237471000000000,-1, , ,Yes
123, ,Steelhead_survey_Reaches-291,Transient,LWD jam,0.000000000000000,0.000000000000000,0.000000000000000,321.000000000000000,9.000000000000000,46.417813000000002,-123.234939999999990,0, , ,No
124, ,Steelhead_survey_Reaches-297,Permenant,Falls,11.600000000000000,25.699999999999999,0.000000000000000,348.000000000000000,15.000000000000000,47.338037000000000,-123.719084000000000,-1, , ,Yes
125, ,Steelhead_survey_Reaches-300,Permenant,Falls/LWD jam,1.600000000000000,2.200000000000000,0.300000000000000,536.000000000000000,11.000000000000000,46.463956000000003,-123.278850000000010,-1,"step 1 of 2; landslide created huge boulder falls, LWD also present & contribute to structure", ,Yes
126, ,Steelhead_survey_Reaches-300,Permenant,Falls/LWD jam,4.400000000000000,4.600000000000000,0.200000000000000,536.000000000000000,11.000000000000000,46.463956000000003,-123.278850000000010,-1,"step 2 of 2; landslide created huge boulder falls, LWD also present & contribute to structure", ,Yes
127, ,Coho_survey_Reaches-075,Permenant,Falls,2.600000000000000,3.000000000000000,0.050000000000000,313.000000000000000,11.000000000000000,46.813946000000001,-123.373677000000000,-1,2nd trib to Bloomquist north of Brooklyn Rd., ,Yes
128, ,Steelhead_survey_Reaches-184,Permenant,"Bedrock Slide, Falls",18.300000000000001,29.800000000000001,0.000000000000000,847.000000000000000,5.000000000000000,46.447024999999996,-123.173130000000000,-1,unable to get to bottom to measure PPD, ,Yes
129, ,Steelhead_survey_Reaches-312,Transient,"Debris Jam, LWD jam",0.700000000000000,2.500000000000000,0.300000000000000,282.000000000000000,5.000000000000000,46.581958999999998,-123.022124000000010,0, , ,No
130, ,Steelhead_survey_Reaches-312,Permenant,Falls,1.000000000000000,2.500000000000000,0.200000000000000,283.000000000000000,4.000000000000000,46.581409999999998,-123.021912000000000,0, , ,No
131, ,Steelhead_survey_Reaches-032,Permenant,Falls,1.200000000000000,1.200000000000000,0.750000000000000,1554.000000000000000,9.000000000000000,46.479649000000002,-123.352236000000000,0,2 tiered fall; first tier, ,No
132, ,Steelhead_survey_Reaches-032,Permenant,Falls,2.400000000000000,5.800000000000000,1.200000000000000,1554.000000000000000,9.000000000000000,46.479649000000002,-123.352236000000000,-1,2 tiered fall; second tier, ,Yes
133, ,Steelhead_survey_Reaches-039,Transient,LWD,1.250000000000000,5.000000000000000,0.500000000000000,122.000000000000000,5.000000000000000,47.164767896999997,-123.606677418999990,0, , ,No
134, ,Steelhead_survey_Reaches-039,Transient,LWD,1.000000000000000,3.000000000000000,1.000000000000000,126.000000000000000,4.000000000000000,47.168802442000000,-123.603585167000010,0, , ,No
135, ,Steelhead_survey_Reaches-039,Transient,LWD,1.000000000000000,2.000000000000000,1.000000000000000,127.000000000000000,4.000000000000000,47.170025109999997,-123.602785533000000,0, , ,No
